y_px,pp_bass,mf_bass,ff,mf_treble,pp_treble
176500,1672.09,1907.79,2146.06,2381.0,2620.4
176600,1672.09,1907.79,2146.06,2381.0,2620.4
176700,1672.09,1907.79,2146.06,2381.0,2620.4
176800,1672.1,1907.8,2146.07,2381.01,2620.41
176900,1672.12,1907.82,2146.09,2381.03,2620.43
177000,1672.14,1907.84,2146.11,2381.05,2620.45
177100,1672.16,1907.86,2146.13,2381.07,2620.47
177200,1672.18,1907.88,2146.15,2381.09,2620.49
177300,1672.22,1907.92,2146.19,2381.12,2620.53
177400,1672.27,1907.98,2146.25,2381.18,2620.59
177500,1672.33,1908.04,2146.31,2381.24,2620.64
177600,1672.39,1908.09,2146.37,2381.3,2620.7
177700,1672.45,1908.15,2146.43,2381.36,2620.76
177800,1672.4,1908.1,2146.38,2381.31,2620.71
177900,1672.25,1907.95,2146.23,2381.16,2620.56
178000,1672.1,1907.8,2146.07,2381.0,2620.41
178100,1671.94,1907.65,2145.92,2380.85,2620.25
178200,1671.79,1907.49,2145.77,2380.7,2620.1
178300,1671.81,1907.51,2145.79,2380.72,2620.12
178400,1672.0,1907.71,2145.98,2380.91,2620.31
178500,1672.2,1907.9,2146.17,2381.11,2620.51
178600,1672.39,1908.09,2146.37,2381.3,2620.7
178700,1672.58,1908.29,2146.56,2381.49,2620.89
178800,1672.68,1908.38,2146.66,2381.59,2620.99
178900,1672.68,1908.38,2146.66,2381.59,2620.99
