y_px,tick,seconds,bass_x,bass_value,bass_flag,bass_source,treble_x,treble_value,treble_flag,treble_source
29500,13018,22.7715,1949.5,0.58151,ink,traced,2224.0,0.84023,ink,traced
29501,13019,22.7732,1949.0,0.58047,ink,traced,2220.0,0.84874,ink,traced
29502,13020,22.7749,1949.0,0.58047,ink,traced,2221.5,0.84555,ink,traced
29503,13021,22.7767,1949.0,0.58047,ink,traced,2219.0,0.85087,ink,traced
29504,13022,22.7784,1949.0,0.58047,ink,traced,2216.5,0.85619,ink,traced
29505,13023,22.7802,1949.5,0.58151,ink,traced,2212.5,0.8647,ink,traced
29506,13024,22.7819,1948.5,0.57942,ink,traced,2213.0,0.86364,ink,traced
29507,13025,22.7837,1948.0,0.57837,ink,traced,2208.0,0.87428,ink,traced
29508,13026,22.7854,1949.0,0.58047,ink,traced,2205.5,0.8796,ink,traced
29509,13027,22.7871,1948.5,0.57942,ink,traced,2203.0,0.88492,ink,traced
29510,13028,22.7889,1948.5,0.57942,ink,traced,2201.0,0.88918,ink,traced
29511,13029,22.7906,1948.0,0.57837,ink,traced,2201.0,0.88918,faint,traced
29512,13030,22.7924,1948.0,0.57837,ink,traced,2196.0,0.89982,ink,traced
29513,13031,22.7941,1948.0,0.57837,ink,traced,2192.0,0.90833,ink,traced
29514,13032,22.7959,1948.0,0.57837,ink,traced,2189.0,0.91471,ink,traced
29515,13033,22.7976,1948.0,0.57837,ink,traced,2187.0,0.91897,ink,traced
29516,13034,22.7993,1948.5,0.57942,ink,traced,2184.0,0.92536,faint,traced
29517,13035,22.8011,1948.0,0.57837,ink,traced,2181.0,0.93174,faint,traced
29518,13036,22.8028,1948.0,0.57837,ink,traced,2179.0,0.936,ink,traced
29519,13037,22.8046,1948.0,0.57837,ink,traced,2178.0,0.93813,ink,traced
29520,13038,22.8063,1948.0,0.57837,ink,traced,2178.0,0.93813,faint,traced
29521,13039,22.8081,1948.0,0.57837,ink,traced,2292.0,0.6955,ink,traced
29522,13040,22.8098,1948.5,0.57942,ink,traced,2292.0,0.6955,ink,traced
29523,13041,22.8115,1948.5,0.57942,ink,traced,2173.0,0.94877,ink,traced
29524,13042,22.8133,1948.5,0.57942,ink,traced,2172.0,0.9509,ink,traced
29525,13043,22.815,1948.0,0.57837,ink,traced,2174.0,0.94664,ink,traced
29526,13044,22.8168,1948.0,0.57837,ink,traced,2175.0,0.94451,ink,traced
29527,13045,22.8185,1948.0,0.57837,ink,traced,2172.0,0.9509,ink,traced
29528,13046,22.8203,1948.0,0.57837,ink,traced,2172.5,0.94983,ink,traced
29529,13047,22.822,1948.0,0.57837,ink,traced,2172.5,0.94983,ink,traced
29530,13048,22.8237,1948.0,0.57837,ink,traced,2173.5,0.9477,ink,traced
29531,13049,22.8255,1948.0,0.57837,ink,traced,2175.0,0.94451,ink,traced
29532,13050,22.8272,1947.5,0.57732,ink,traced,2173.0,0.94877,ink,traced
29533,13051,22.829,1948.0,0.57837,ink,traced,2173.5,0.9477,ink,traced
29534,13052,22.8307,1948.0,0.57837,ink,traced,2177.0,0.94025,ink,traced
29535,13053,22.8325,1947.5,0.57732,ink,traced,2176.0,0.94238,ink,traced
29536,13054,22.8342,1948.0,0.57837,ink,traced,2175.5,0.94345,ink,traced
29537,13055,22.8359,1948.0,0.57837,ink,traced,2174.5,0.94557,ink,traced
29538,13056,22.8377,1948.0,0.57837,ink,traced,2174.5,0.94557,ink,traced
29539,13057,22.8394,1948.0,0.57837,ink,traced,2174.5,0.94557,ink,traced
29540,13058,22.8412,1947.5,0.57732,ink,traced,2176.0,0.94238,ink,traced
29541,13059,22.8429,1948.0,0.57837,ink,traced,2176.0,0.94238,ink,traced
29542,13060,22.8447,1948.0,0.57837,ink,traced,2177.0,0.94025,ink,traced
29543,13061,22.8464,1948.0,0.57837,ink,traced,2174.5,0.94557,ink,traced
29544,13062,22.8481,1948.0,0.57837,ink,traced,2177.5,0.93919,ink,traced
29545,13063,22.8499,1948.5,0.57942,ink,traced,2174.5,0.94557,ink,traced
29546,13064,22.8516,1948.5,0.57942,ink,traced,2175.0,0.94451,ink,traced
29547,13065,22.8534,1948.0,0.57837,ink,traced,2174.5,0.94557,ink,traced
29548,13066,22.8551,1948.0,0.57837,ink,traced,2174.0,0.94664,ink,traced
29549,13067,22.8569,1948.0,0.57837,ink,traced,2175.0,0.94451,ink,traced
29550,13068,22.8586,1948.0,0.57837,ink,traced,2175.0,0.94451,ink,traced
29551,13069,22.8603,1948.0,0.57837,ink,traced,2174.5,0.94557,ink,traced
29552,13070,22.8621,1948.0,0.57837,ink,traced,2174.5,0.94557,ink,traced
29553,13071,22.8638,1948.0,0.57837,ink,traced,2174.5,0.94557,ink,traced
29554,13072,22.8656,1948.0,0.57837,ink,traced,2174.5,0.94557,ink,traced
29555,13073,22.8673,1948.0,0.57837,ink,traced,2174.5,0.94557,ink,traced
29556,13074,22.8691,1948.0,0.57837,ink,traced,2174.5,0.94557,ink,traced
29557,13075,22.8708,1947.5,0.57732,ink,traced,2175.0,0.94451,ink,traced
29558,13076,22.8725,1948.0,0.57837,ink,traced,2175.0,0.94451,ink,traced
29559,13077,22.8743,1948.0,0.57837,ink,traced,2175.0,0.94451,ink,traced
29560,13078,22.876,1948.0,0.57837,ink,traced,2175.5,0.94345,ink,traced
29561,13079,22.8778,1948.0,0.57837,ink,traced,2176.0,0.94238,ink,traced
29562,13080,22.8795,1948.0,0.57837,ink,traced,2175.0,0.94451,ink,traced
29563,13081,22.8813,1948.0,0.57837,ink,traced,2175.0,0.94451,ink,traced
29564,13082,22.883,1948.0,0.57837,ink,traced,2175.0,0.94451,ink,traced
29565,13083,22.8847,1948.0,0.57837,ink,traced,2174.5,0.94557,ink,traced
29566,13084,22.8865,1949.5,0.58151,ink,traced,2175.0,0.94451,ink,traced
29567,13085,22.8882,1950.5,0.58361,ink,traced,2175.0,0.94451,ink,traced
29568,13086,22.89,1953.5,0.58991,ink,traced,2175.0,0.94451,ink,traced
29569,13087,22.8917,1957.0,0.59725,ink,traced,2175.0,0.94451,ink,traced
29570,13088,22.8935,1962.5,0.60879,ink,traced,2175.0,0.94451,ink,traced
29571,13089,22.8952,1969.5,0.62348,ink,traced,2175.0,0.94451,ink,traced
29572,13090,22.8969,1974.5,0.63398,ink,traced,2177.0,0.94025,ink,traced
29573,13091,22.8987,1977.5,0.64027,ink,traced,2174.0,0.94664,ink,traced
29574,13092,22.9004,1982.5,0.65076,ink,traced,2175.0,0.94451,ink,traced
29575,13093,22.9022,1984.5,0.65496,ink,traced,2175.0,0.94451,ink,traced
29576,13094,22.9039,1986.0,0.65811,ink,traced,2175.0,0.94451,ink,traced
29577,13095,22.9057,1992.5,0.67175,ink,traced,2175.0,0.94451,ink,traced
29578,13096,22.9074,1995.5,0.67804,ink,traced,2175.0,0.94451,ink,traced
29579,13097,22.9091,1998.5,0.68434,ink,traced,2175.0,0.94451,ink,traced
29580,13098,22.9109,2005.0,0.69798,ink,traced,2175.0,0.94451,ink,traced
29581,13099,22.9126,2009.5,0.70742,ink,traced,2175.0,0.94451,ink,traced
29582,13100,22.9144,2011.0,0.71057,ink,traced,2175.0,0.94451,ink,traced
29583,13101,22.9161,2015.0,0.71896,ink,traced,2175.0,0.94451,ink,traced
29584,13102,22.9179,2018.0,0.72526,ink,traced,2174.5,0.94557,ink,traced
29585,13103,22.9196,2022.0,0.73365,ink,traced,2175.0,0.94451,ink,traced
29586,13104,22.9213,2026.0,0.74204,ink,traced,2175.0,0.94451,ink,traced
29587,13105,22.9231,2032.0,0.75464,ink,traced,2175.0,0.94451,ink,traced
29588,13106,22.9248,2030.5,0.75149,ink,traced,2175.0,0.94451,ink,traced
29589,13107,22.9266,2035.5,0.76198,ink,traced,2175.0,0.94451,ink,traced
29590,13108,22.9283,2039.5,0.77037,ink,traced,2175.0,0.94451,ink,traced
29591,13109,22.9301,2039.5,0.77037,ink,traced,2175.0,0.94451,ink,traced
29592,13110,22.9318,2046.0,0.78401,ink,traced,2175.5,0.94345,ink,traced
29593,13111,22.9335,2047.0,0.78611,ink,traced,2175.5,0.94345,ink,traced
29594,13112,22.9353,2050.5,0.79346,ink,traced,2175.0,0.94451,ink,traced
29595,13113,22.937,2055.0,0.8029,ink,traced,2175.0,0.94451,ink,traced
29596,13114,22.9388,2057.5,0.80815,ink,traced,2175.0,0.94451,ink,traced
29597,13115,22.9405,2060.0,0.81339,ink,traced,2174.5,0.94557,ink,traced
29598,13116,22.9423,2063.0,0.81969,ink,traced,2174.5,0.94557,ink,traced
29599,13117,22.944,2067.5,0.82913,ink,traced,2175.0,0.94451,ink,traced
29600,13118,22.9457,2068.0,0.83018,ink,traced,2174.5,0.94557,ink,traced
29601,13119,22.9475,2070.0,0.83438,ink,traced,2174.5,0.94557,ink,traced
29602,13120,22.9492,2072.5,0.83962,ink,traced,2174.5,0.94557,ink,traced
29603,13121,22.951,2075.5,0.84592,ink,traced,2174.5,0.94557,ink,traced
29604,13122,22.9527,2079.5,0.85431,ink,traced,2174.5,0.94557,ink,traced
29605,13123,22.9545,2079.5,0.85431,ink,traced,2174.5,0.94557,ink,traced
29606,13124,22.9562,2080.5,0.85641,ink,traced,2175.0,0.94451,ink,traced
29607,13125,22.9579,2081.0,0.85746,ink,traced,2175.0,0.94451,ink,traced
29608,13126,22.9597,2085.0,0.86585,ink,traced,2175.0,0.94451,ink,traced
29609,13127,22.9614,2085.0,0.86585,ink,traced,2175.0,0.94451,ink,traced
29610,13128,22.9632,2088.0,0.87215,ink,traced,2175.0,0.94451,ink,traced
29611,13129,22.9649,2088.0,0.87215,ink,traced,2175.0,0.94451,ink,traced
29612,13130,22.9667,2090.0,0.87634,ink,traced,2175.0,0.94451,ink,traced
29613,13131,22.9684,2087.0,0.87005,ink,traced,2175.0,0.94451,ink,traced
29614,13132,22.9701,2087.5,0.8711,ink,traced,2175.0,0.94451,ink,traced
29615,13133,22.9719,2088.0,0.87215,ink,traced,2175.5,0.94345,ink,traced
29616,13134,22.9736,2087.0,0.87005,ink,traced,2175.0,0.94451,ink,traced
29617,13135,22.9754,2087.5,0.8711,ink,traced,2174.5,0.94557,ink,traced
29618,13136,22.9771,2087.0,0.87005,ink,traced,2174.5,0.94557,ink,traced
