y_px,tick,seconds,bass_x,bass_value,bass_flag,bass_source,treble_x,treble_value,treble_flag,treble_source
132000,115518,195.8972,2090.0,0.88149,ink,traced,2214.5,0.85523,ink,traced
132001,115519,195.8988,2090.0,0.88149,ink,traced,2219.0,0.84565,ink,traced
132002,115520,195.9005,2090.5,0.88254,ink,traced,2216.0,0.85204,ink,traced
132003,115521,195.9021,2090.5,0.88254,ink,traced,2216.5,0.85097,ink,traced
132004,115522,195.9037,2090.0,0.88149,ink,traced,2217.5,0.84884,ink,traced
132005,115523,195.9054,2091.0,0.88359,ink,traced,2219.5,0.84459,ink,traced
132006,115524,195.907,2092.5,0.88673,ink,traced,2221.0,0.84139,ink,traced
132007,115525,195.9086,2090.5,0.88254,ink,traced,2222.5,0.8382,ink,traced
132008,115526,195.9103,2090.5,0.88254,ink,traced,2224.0,0.83501,ink,traced
132009,115527,195.9119,2091.0,0.88359,ink,traced,2224.5,0.83395,ink,traced
132010,115528,195.9136,2091.0,0.88359,ink,traced,2222.5,0.8382,ink,traced
132011,115529,195.9152,2091.0,0.88359,ink,traced,2226.5,0.82969,ink,traced
132012,115530,195.9168,2090.0,0.88149,ink,traced,2228.0,0.8265,ink,traced
132013,115531,195.9185,2090.5,0.88254,ink,traced,2230.0,0.82224,ink,traced
132014,115532,195.9201,2090.5,0.88254,ink,traced,2231.0,0.82011,ink,traced
132015,115533,195.9217,2090.0,0.88149,ink,traced,2232.5,0.81692,ink,traced
132016,115534,195.9234,2091.5,0.88464,ink,traced,2233.5,0.81479,ink,traced
132017,115535,195.925,2088.5,0.87834,ink,traced,2235.0,0.8116,ink,traced
132018,115536,195.9266,2090.5,0.88254,ink,traced,2236.0,0.80947,ink,traced
132019,115537,195.9283,2090.5,0.88254,ink,traced,2242.0,0.7967,ink,traced
132020,115538,195.9299,2089.0,0.87939,ink,traced,2238.5,0.80415,ink,traced
132021,115539,195.9315,2089.0,0.87939,ink,traced,2239.0,0.80309,ink,traced
132022,115540,195.9332,2090.5,0.88254,ink,traced,2240.0,0.80096,ink,traced
132023,115541,195.9348,2090.0,0.88149,ink,traced,2247.0,0.78606,ink,traced
132024,115542,195.9364,2090.0,0.88149,ink,traced,2242.5,0.79564,ink,traced
132025,115543,195.9381,2090.0,0.88149,ink,traced,2243.5,0.79351,ink,traced
132026,115544,195.9397,2089.0,0.87939,ink,traced,2250.0,0.77967,ink,traced
132027,115545,195.9414,2089.5,0.88044,ink,traced,2251.0,0.77755,ink,traced
132028,115546,195.943,2089.0,0.87939,ink,traced,2253.0,0.77329,ink,traced
132029,115547,195.9446,2089.5,0.88044,ink,traced,2251.0,0.77755,ink,traced
132030,115548,195.9463,2090.5,0.88254,ink,traced,2255.0,0.76903,ink,traced
132031,115549,195.9479,2088.5,0.87834,ink,traced,2256.0,0.7669,ink,traced
132032,115550,195.9495,2089.0,0.87939,ink,traced,2258.0,0.76265,ink,traced
132033,115551,195.9512,2090.0,0.88149,ink,traced,2259.0,0.76052,ink,traced
132034,115552,195.9528,2090.0,0.88149,ink,traced,2260.0,0.75839,ink,traced
132035,115553,195.9544,2090.0,0.88149,ink,traced,2255.5,0.76797,ink,traced
132036,115554,195.9561,2088.5,0.87834,ink,traced,2257.5,0.76371,ink,traced
132037,115555,195.9577,2090.0,0.88149,ink,traced,2263.0,0.75201,ink,traced
132038,115556,195.9593,2090.0,0.88149,ink,traced,2261.5,0.7552,ink,traced
132039,115557,195.961,2091.5,0.88464,ink,traced,2265.0,0.74775,ink,traced
132040,115558,195.9626,2089.5,0.88044,ink,traced,2266.0,0.74562,ink,traced
132041,115559,195.9642,2092.0,0.88568,ink,traced,2266.0,0.74562,ink,traced
132042,115560,195.9659,2091.5,0.88464,ink,traced,2263.5,0.75094,ink,traced
132043,115561,195.9675,2090.0,0.88149,ink,traced,2266.0,0.74562,ink,traced
132044,115562,195.9692,2091.0,0.88359,ink,traced,2270.0,0.73711,ink,traced
132045,115563,195.9708,2091.5,0.88464,ink,traced,2272.0,0.73285,ink,traced
132046,115564,195.9724,2090.5,0.88254,ink,traced,2267.5,0.74243,ink,traced
132047,115565,195.9741,2090.0,0.88149,ink,traced,2273.0,0.73072,ink,traced
132048,115566,195.9757,2091.5,0.88464,ink,traced,2269.5,0.73817,ink,traced
132049,115567,195.9773,2089.5,0.88044,ink,traced,2272.5,0.73179,ink,traced
132050,115568,195.979,2090.0,0.88149,ink,traced,2270.5,0.73604,ink,traced
132051,115569,195.9806,2089.5,0.88044,ink,traced,2273.0,0.73072,ink,traced
132052,115570,195.9822,2088.5,0.87834,ink,traced,2274.5,0.72753,ink,traced
132053,115571,195.9839,2090.0,0.88149,ink,traced,2279.0,0.71795,ink,traced
132054,115572,195.9855,2089.0,0.87939,ink,traced,2280.0,0.71583,ink,traced
132055,115573,195.9871,2089.5,0.88044,ink,traced,2281.0,0.7137,ink,traced
132056,115574,195.9888,2090.5,0.88254,ink,traced,2282.0,0.71157,ink,traced
132057,115575,195.9904,2089.5,0.88044,ink,traced,2283.0,0.70944,ink,traced
132058,115576,195.992,2091.5,0.88464,ink,traced,2283.0,0.70944,ink,traced
132059,115577,195.9937,2090.5,0.88254,ink,traced,2279.5,0.71689,ink,traced
132060,115578,195.9953,2091.0,0.88359,ink,traced,2279.5,0.71689,ink,traced
132061,115579,195.997,2090.0,0.88149,ink,traced,2286.0,0.70306,ink,traced
132062,115580,195.9986,2089.5,0.88044,ink,traced,2287.0,0.70093,ink,traced
132063,115581,196.0002,2089.5,0.88044,ink,traced,2282.5,0.71051,ink,traced
132064,115582,196.0019,2089.0,0.87939,ink,traced,2283.0,0.70944,ink,traced
132065,115583,196.0035,2089.0,0.87939,ink,traced,2289.0,0.69667,ink,traced
132066,115584,196.0051,2089.0,0.87939,ink,traced,2290.0,0.69454,ink,traced
132067,115585,196.0068,2090.5,0.88254,ink,traced,2289.0,0.69667,ink,traced
132068,115586,196.0084,2089.5,0.88044,ink,traced,2286.5,0.70199,ink,traced
132069,115587,196.01,2089.0,0.87939,ink,traced,2287.5,0.69986,ink,traced
132070,115588,196.0117,2090.5,0.88254,ink,traced,2293.0,0.68816,ink,traced
132071,115589,196.0133,2091.5,0.88464,ink,traced,2289.0,0.69667,ink,traced
132072,115590,196.0149,2089.0,0.87939,ink,traced,2295.0,0.6839,ink,traced
132073,115591,196.0166,2090.0,0.88149,ink,traced,2296.0,0.68177,ink,traced
132074,115592,196.0182,2089.5,0.88044,ink,traced,2296.0,0.68177,ink,traced
132075,115593,196.0198,2089.5,0.88044,ink,traced,2292.5,0.68922,ink,traced
132076,115594,196.0215,2089.0,0.87939,ink,traced,2293.0,0.68816,ink,traced
132077,115595,196.0231,2091.5,0.88464,ink,traced,2293.5,0.68709,ink,traced
132078,115596,196.0248,2089.5,0.88044,ink,traced,2295.5,0.68284,ink,traced
132079,115597,196.0264,2090.0,0.88149,ink,traced,2301.0,0.67113,ink,traced
132080,115598,196.028,2089.5,0.88044,ink,traced,2301.0,0.67113,ink,traced
132081,115599,196.0297,2089.5,0.88044,ink,traced,2303.0,0.66688,ink,traced
132082,115600,196.0313,2090.0,0.88149,ink,traced,2303.0,0.66688,ink,traced
132083,115601,196.0329,2089.5,0.88044,ink,traced,2304.0,0.66475,ink,traced
