y_px,pp_bass,mf_bass,ff,mf_treble,pp_treble
29500,1674.95,1910.65,2148.93,2383.86,2623.26
29600,1674.95,1910.65,2148.93,2383.86,2623.26
29700,1674.95,1910.65,2148.93,2383.86,2623.26
29800,1674.93,1910.63,2148.91,2383.84,2623.24
29900,1674.88,1910.59,2148.86,2383.79,2623.2
30000,1674.84,1910.54,2148.82,2383.75,2623.15
30100,1674.8,1910.5,2148.77,2383.7,2623.11
30200,1674.75,1910.45,2148.73,2383.66,2623.06
30300,1674.79,1910.49,2148.76,2383.7,2623.1
30400,1674.91,1910.61,2148.88,2383.82,2623.22
30500,1675.03,1910.73,2149.0,2383.94,2623.34
30600,1675.14,1910.85,2149.12,2384.05,2623.46
30700,1675.26,1910.97,2149.24,2384.17,2623.58
30800,1675.21,1910.92,2149.19,2384.12,2623.52
30900,1674.99,1910.7,2148.97,2383.9,2623.31
31000,1674.77,1910.48,2148.75,2383.68,2623.09
31100,1674.55,1910.26,2148.53,2383.46,2622.87
31200,1674.33,1910.04,2148.31,2383.24,2622.65
31300,1674.06,1909.76,2148.03,2382.97,2622.37
31400,1673.72,1909.43,2147.7,2382.63,2622.04
31500,1673.39,1909.09,2147.37,2382.3,2621.7
31600,1673.06,1908.76,2147.03,2381.97,2621.37
31700,1672.72,1908.43,2146.7,2381.63,2621.03
31800,1672.56,1908.26,2146.53,2381.47,2620.87
31900,1672.56,1908.26,2146.53,2381.47,2620.87
